id,sitzung,wahlperiode,in_writing,speaker,speaker_cleaned,speaker_fp,sequence,text,filename,type,speaker_party
2324167,2,17,0,Präsident Dr. Norbert Lammert,Dr. Norbert Lammert,norbert-lammert,0,"Nehmen Sie bitte Platz. Die Sitzung ist eröffnet.

Guten Morgen, liebe Kolleginnen und Kollegen, ich begrüße Sie alle herzlich zur zweiten Sitzung des Deutschen Bundestages in der neuen Legislaturperiode.

Ich rufe den Tagesordnungspunkt 1 auf:

Wahl der Bundeskanzlerin",data/txt/17002.txt,chair,
2324168,2,17,0,Dazu hat mir der Herr Bundespräsident mitgeteilt,Dazu hat mir der Herr Bundespräsident mitgeteilt,dazu-hat-mir-der-herr-bundesprasident-mitgeteilt,1,"Gemäß Artikel 63 Absatz 1 des Grundgesetzes für die Bundesrepublik Deutschland schlage ich dem Deutschen Bundestag vor, Frau Dr. Angela Merkel zur Bundeskanzlerin zu wählen.",data/txt/17002.txt,speech,
2324169,2,17,0,,,,2,Beifall bei der CDU/CSU und der FDP,data/txt/17002.txt,poi,
2324170,2,17,0,Dazu hat mir der Herr Bundespräsident mitgeteilt,Dazu hat mir der Herr Bundespräsident mitgeteilt,dazu-hat-mir-der-herr-bundesprasident-mitgeteilt,3,Eine besondere Überraschung scheint dieser Vorschlag nicht auszulösen.,data/txt/17002.txt,speech,
2324171,2,17,0,,,,4,Heiterkeit,data/txt/17002.txt,poi,
2324172,2,17,0,Dazu hat mir der Herr Bundespräsident mitgeteilt,Dazu hat mir der Herr Bundespräsident mitgeteilt,dazu-hat-mir-der-herr-bundesprasident-mitgeteilt,5,"Ich bitte nun um Aufmerksamkeit für einige Hinweise zu unserem Wahlverfahren. Zu dieser Wahl sind die Stimmen der Mehrheit der Mitglieder des Bundestages, also mindestens 312 Stimmen, erforderlich. Nach unserer Geschäftsordnung wird die Bundeskanzlerin mit verdeckten Stimmkarten, also geheim, gewählt. Sie benötigen für die Wahl einen Wahlausweis, den Sie, soweit noch nicht geschehen, in Ihren Stimmkartenfächern vorfinden. Bitte kontrollieren Sie, ob der Wahlausweis Ihren Namen trägt. Die für die Wahl gültige Stimmkarte und den amtlichen Wahlumschlag erhalten Sie nach Aufruf Ihres Namens von den Schriftführerinnen und Schriftführern an den Ausgabetischen hier oben links und rechts neben den Wahlkabinen. Um einen reibungslosen Ablauf zu ermöglichen, bitte ich Sie, genauso wie gestern von Ihren Plätzen aus über die seitlichen Zugänge und nicht durch den Mittelgang zu den Ausgabetischen zu gehen.

Nachdem Sie die Stimmkarte in eine der Wahlkabinen gekennzeichnet und in den Wahlumschlag gelegt haben, gehen Sie bitte zu den Wahlurnen hier vor dem Rednerpult. Sie dürfen Ihre Stimmkarte nur in der Wahlkabine ankreuzen und müssen ebenfalls noch in der Wahlkabine die Stimmkarte in den Umschlag legen. Die Schriftführerinnen und Schriftführer sind verpflichtet, jeden, der seine Stimmkarte außerhalb der Wahlkabine kennzeichnet oder in den Umschlag legt, zurückzuweisen. Immerhin besteht in diesem Fall noch die Möglichkeit einer ordnungsgemäßen Wiederholung der gerade beschriebenen Prozedur.

Gültig sind nur Stimmkarten mit einem Kreuz bei „ja“, „nein“ oder „enthalte mich“. Ungültig sind Stimmen auf nichtamtlichen Stimmkarten oder solchen Stimmkarten, die mehr als ein Kreuz, andere Namen oder Zusätze enthalten.

Bevor Sie die Stimmkarte in eine der Wahlurnen werfen, übergeben Sie bitte Ihren Wahlausweis einem der Schriftführer an der Wahlurne. Der Nachweis der Teilnahme an der Wahl kann nur durch die Abgabe des Wahlausweises erbracht werden.

Ich darf jetzt die eingeteilten Schriftführerinnen und Schriftführer bitten, die vorgesehenen Plätze einzunehmen. Die beiden Schriftführer neben mir werden danach mit der Verlesung der Namen in alphabetischer Reihenfolge beginnen. Ich bitte Sie, den Namensaufruf zu verfolgen und sich nach dem Aufruf Ihres Namens zur Entgegennahme der Stimmkarte zu den Ausgabetischen vor den Wahlkabinen zu begeben.

Darf ich um ein Signal bitten, ob die Schriftführerinnen und Schriftführer ihre Plätze bereits eingenommen haben? - Das ist der Fall.

Der Kollege Winkler macht mich darauf aufmerksam, dass an der Urne links von mir die Regierung fehle. Das halte ich für ein doppeltes Missverständnis. Die Regierung fehlt bei diesem Wahlgang sicher nicht, aber vielleicht ein Vertreter der Koalition. Das sollten wir vielleicht komplettieren. - Sehr gut. Nun ist auch diesem liebenswürdigen Wunsch der Opposition Rechnung getragen.

Damit eröffne ich den Wahlgang und bitte, mit dem Aufruf der Namen zu beginnen.",data/txt/17002.txt,speech,
2324173,2,17,0,,,,6,Namensaufruf und Wahl,data/txt/17002.txt,poi,
2324174,2,17,0,Dazu hat mir der Herr Bundespräsident mitgeteilt,Dazu hat mir der Herr Bundespräsident mitgeteilt,dazu-hat-mir-der-herr-bundesprasident-mitgeteilt,7,"Liebe Kolleginnen und Kollegen, ich frage Sie, ob irgendein Mitglied des Hauses anwesend ist, das seine Stimmkarte noch nicht abgegeben hat. - Ich habe den Eindruck, dass inzwischen auch die Schriftführerinnen und Schriftführer ihre Stimmkarten abgegeben haben. Gibt es daran von irgendeiner Seite Widerspruch oder Zweifel? - Das ist nicht der Fall. Dann schließe ich hiermit den Wahlgang.

Für die Auszählung der Stimmen unterbreche ich die Sitzung für voraussichtlich etwa 20 Minuten. Wir werden nach Auszählung der Stimmen in geeigneter Weise akustisch darauf aufmerksam machen, dass die Sitzung zur Bekanntgabe des Ergebnisses wieder eröffnet wird.

Die Sitzung ist unterbrochen.",data/txt/17002.txt,speech,
2324175,2,17,0,,,,8,Unterbrechung von 10.34 bis 10.58 Uhr,data/txt/17002.txt,poi,
2324176,2,17,0,Dazu hat mir der Herr Bundespräsident mitgeteilt,Dazu hat mir der Herr Bundespräsident mitgeteilt,dazu-hat-mir-der-herr-bundesprasident-mitgeteilt,9,,data/txt/17002.txt,speech,
2324177,2,17,0,Präsident Dr. Norbert Lammert,Dr. Norbert Lammert,norbert-lammert,10,"Liebe Kolleginnen und Kollegen, ich bitte Sie, wieder Platz zu nehmen, und teile Ihnen dann das Ergebnis des Wahlgangs mit. - Abgegebene Stimmen 612, davon ungültig keine. Mit Ja haben gestimmt 323 Mitglieder des Hauses.",data/txt/17002.txt,chair,
2324178,2,17,0,,,,11,Langanhaltender Beifall bei der CDU/CSU und der FDP,data/txt/17002.txt,poi,
2324179,2,17,0,Präsident Dr. Norbert Lammert,Dr. Norbert Lammert,norbert-lammert,12,Mit Nein gestimmt haben 285 Mitglieder des Hauses.,data/txt/17002.txt,chair,
2324180,2,17,0,,,,13,Beifall bei Abgeordneten der LINKEN,data/txt/17002.txt,poi,
2324181,2,17,0,Präsident Dr. Norbert Lammert,Dr. Norbert Lammert,norbert-lammert,14,- Das mit den geheimen Abstimmungen hatten wir schon einmal. -,data/txt/17002.txt,chair,
