id,sitzung,wahlperiode,in_writing,speaker,speaker_cleaned,speaker_fp,sequence,text,filename,type,speaker_party
2655356,193,17,0,Präsident Dr. Norbert Lammert,Dr. Norbert Lammert,norbert-lammert,0,"Die Sitzung ist eröffnet. Nehmen Sie bitte Platz.

Guten Morgen, liebe Kolleginnen und Kollegen! Ich begrüße Sie zum letzten Tag unserer Haushaltsberatungen - Tagesordnungspunkt 1 -:

a)	Erste Beratung des von der Bundesregierung eingebrachten Entwurfs eines Gesetzes über die Feststellung des Bundeshaushaltsplans für das Haushaltsjahr 2013 (Haushaltsgesetz 2013)

- Drucksache 17/10200 -

Überweisungsvorschlag:

Haushaltsausschuss

b)	Beratung der Unterrichtung durch die Bundes-regierung

Finanzplan des Bundes 2012 bis 2016

- Drucksache 17/10201 -

Überweisungsvorschlag:

Haushaltsausschuss

Wir haben für die heutige Aussprache eine Redezeit von insgesamt dreieinhalb Stunden beschlossen.

Wir beginnen den heutigen Tag der Haushaltsberatungen mit dem Geschäftsbereich des Bundesministeriums für Verkehr, Bau und Stadtentwicklung, Einzelplan 12.

Ich begrüße den zuständigen Bundesminister und erteile ihm gleich zu Beginn das Wort. Herr Dr. Ramsauer, bitte schön.",data/txt/17193.txt,chair,
2655357,193,17,0,,,,1,Beifall bei der CDU/CSU und der FDP,data/txt/17193.txt,poi,
2655358,193,17,0,Präsident Dr. Norbert Lammert,Dr. Norbert Lammert,norbert-lammert,2,,data/txt/17193.txt,chair,
2655359,193,17,0,"Dr. Peter Ramsauer, Bundesminister für Verkehr, Bau und Stadtentwicklung",Dr. Peter Ramsauer,peter-ramsauer,3,"Sehr geehrter Herr Präsident! Liebe Kolleginnen und Kollegen! Meine Damen und Herren! Man kann es nicht oft genug betonen: Mobilität, Bauen und Wohnen zählen zu den elementaren Grundbedürfnissen der Menschen. Deshalb haben die Bürgerinnen und Bürger unseres Landes einen Anspruch auf Verlässlichkeit in diesem Politikbereich.",data/txt/17193.txt,speech,
2655360,193,17,0,Hans-Joachim Hacker [SPD],Hans-Joachim Hacker,hans-joachim-hacker,4,Das stimmt -allerdings!,data/txt/17193.txt,poi,spd
2655361,193,17,0,"Dr. Peter Ramsauer, Bundesminister für Verkehr, Bau und Stadtentwicklung",Dr. Peter Ramsauer,peter-ramsauer,5,"Diese Verlässlichkeit wollen wir gewährleisten. Es ist daher folgerichtig, dass der - technisch gesagt - Einzelplan 12, der Haushalt des Bundesministeriums für Verkehr, Bau und Stadtentwicklung, unter allen Haushalten der größte Investitionshaushalt ist und mehr als die Hälfte aller Investitionen birgt, die der Bund tätigt.

Ich möchte mit einem Thema beginnen, das auf den ersten Blick nicht unbedingt in Zusammenhang mit dem steht, was sonst bei uns an vorderster Stelle steht, nämlich der Verkehr. Es handelt sich um - davon war schon mehrfach in dieser Woche die Rede - die Beiträge zur Energiewende, die aus meinem Fachbereich zum Gelingen dieses Jahrhundertwerks geleistet werden. Wir wissen, dass etwa 70 Prozent der gesamten Primärenergie durch den Verkehr und im Gebäudebereich verbraucht werden. Dementsprechend wichtig sind unsere Beiträge zum Gelingen der Energiewende. Wir alle können froh darüber sein, dass das Gebäudesanierungsprogramm bis einschließlich 2014 verlässlich mit 1,5 Milliarden Euro dotiert ist. Das Gebäudesanierungsprogramm, welches im Jahr 2006 begann, hat sich als absoluter Renner erwiesen. Wir müssen alles daransetzen, dass dieses Programm zur energetischen Gebäudesanierung auch in Zukunft ein Zugpferd der Energiewende bleibt.",data/txt/17193.txt,speech,
2655362,193,17,0,,,,6,Beifall bei der CDU/CSU und der FDP,data/txt/17193.txt,poi,
2655363,193,17,0,"Dr. Peter Ramsauer, Bundesminister für Verkehr, Bau und Stadtentwicklung",Dr. Peter Ramsauer,peter-ramsauer,7,"Wir, der Deutsche Bundestag, haben vor gut einem Jahr das Gesetz zur steuerlichen Förderung von energetischen Sanierungsmaßnahmen an Wohngebäuden verabschiedet, ein - wenn ich das so bezeichnen darf - absolutes Muss; denn viele, die willig sind, ihre Gebäude zu sanieren, können zwar etwas mit der KfW-Förderung anfangen. Aber die steuerliche Förderung ist wesentlich passgenauer. Es gibt gewaltige Erwartungen. Wie Sie wissen, wird dieses Gesetz seit letztem Jahr vom Bundesrat blockiert.",data/txt/17193.txt,speech,
2655364,193,17,0,Wolfgang Zöller [CDU/CSU],Wolfgang Zöller,wolfgang-zoller,8,Von einer -bestimmten Mehrheit!,data/txt/17193.txt,poi,cducsu
2655365,193,17,0,"Dr. Peter Ramsauer, Bundesminister für Verkehr, Bau und Stadtentwicklung",Dr. Peter Ramsauer,peter-ramsauer,9,Es wird natürlich laufend verhandelt. Ich appelliere an dieser Stelle abermals an SPD und Grüne: Bitte geben Sie die Blockade im Bundesrat auf.,data/txt/17193.txt,speech,
