id,sitzung,wahlperiode,in_writing,speaker,speaker_cleaned,speaker_fp,sequence,text,filename,type,speaker_party
2451737,75,17,0,Präsident Dr. Norbert Lammert,Dr. Norbert Lammert,norbert-lammert,0,"Die Sitzung ist eröffnet. Nehmen Sie bitte Platz.

Guten Morgen, liebe Kolleginnen und Kollegen, ich begrüße Sie herzlich zur Fortsetzung der Haushaltsberatungen.

Wir setzen die Haushaltsberatungen - Tagesordnungspunkt I - fort:

a)	Zweite Beratung des von der Bundesregierung eingebrachten Entwurfs eines Gesetzes über die Feststellung des Bundeshaushaltsplans für das Haushaltsjahr 2011 (Haushaltsgesetz 2011)

- Drucksachen 17/2500, 17/2502 -

b)	Beratung der Beschlussempfehlung des Haushaltsausschusses (8. Ausschuss) zu der Unterrichtung durch die Bundesregierung

Finanzplan des Bundes 2010 bis 2014

- Drucksachen 17/2501, 17/2502, 17/3526 -

Berichterstattung:

Abgeordnete Norbert Barthle

Carsten Schneider (Erfurt)

Otto Fricke

Roland Claus

Alexander Bonde

Dazu rufe ich jetzt Tagesordnungspunkt I.12 auf:

Einzelplan 09

Bundesministerium für Wirtschaft und

Technologie

- Drucksachen 17/3509, 17/3523 -

Berichterstattung:

Abgeordnete Dr. Michael Luther

Carsten Schneider (Erfurt)

Ulrike Flach

Roland Claus

Alexander Bonde

Ich sehe, die Berichterstatter sind vollzählig anwesend.

Nach einer interfraktionellen Vereinbarung sind für die Aussprache zu diesem Einzeletat 90 Minuten vorgesehen. - Dazu höre ich keinen Widerspruch. Dann können wir so verfahren.

Ich eröffne die Aussprache und erteile das Wort zunächst dem Kollegen Garrelt Duin für die SPD-Fraktion.",data/txt/17075.txt,chair,
2451738,75,17,0,,,,1,Beifall bei der SPD,data/txt/17075.txt,poi,
2451739,75,17,0,Präsident Dr. Norbert Lammert,Dr. Norbert Lammert,norbert-lammert,2,,data/txt/17075.txt,chair,
2451740,75,17,0,Garrelt Duin (SPD),Garrelt Duin,garrelt-duin,3,"Herr Präsident! Liebe Kolleginnen und Kollegen! Wir diskutieren heute Morgen über den Haushalt für das Bundeswirtschaftsministerium. Zu Beginn dieser Debatte ist selbstverständlich festzustellen, dass wir in Deutschland einen Aufschwung haben, der alle Erwartungen des letzten Jahres, auch die Erwartungen der sogenannten Experten, übertrifft. Über diesen Aufschwung - das möchte ich für meine Fraktion ausdrücklich klarstellen - freuen wir uns unbändig.

Wir bedanken uns bei denen, die diesen Aufschwung bewerkstelligt haben: bei den Arbeitnehmerinnen und Arbeitnehmern sowie den klugen Unternehmern in Deutschland.",data/txt/17075.txt,speech,spd
2451741,75,17,0,,,,4,Beifall bei der SPD und der FDP sowie bei Abgeordneten der CDU/CSU,data/txt/17075.txt,poi,
2451742,75,17,0,Bartholomäus Kalb [CDU/CSU],Bartholomäus Kalb,bartholomaus-kalb,5,"Die die Chancen, die wir eröffnet haben, genutzt haben!",data/txt/17075.txt,poi,cducsu
2451743,75,17,0,Garrelt Duin (SPD),Garrelt Duin,garrelt-duin,6,"Sie wurden durch weise Entscheidungen und entschlossenes Handeln der damaligen Bundesregierung in die Lage versetzt, unter anderem mit dem Instrument der Kurzarbeit, auf diese Krise zu reagieren. Durch massive Kraftanstrengungen, durch zwei Konjunkturpakete wurden sie in die Lage versetzt, über dieses tiefe Tal hinwegzukommen.",data/txt/17075.txt,speech,spd
2451744,75,17,0,,,,7,Beifall bei der SPD sowie bei Abgeordneten der CDU/CSU und des Abg. Hans-Michael Goldmann [FDP],data/txt/17075.txt,poi,
2451745,75,17,0,Garrelt Duin (SPD),Garrelt Duin,garrelt-duin,8,"Es ist vollkommen richtig, dass die Sachverständigen in ihrem Gutachten herausstellen, dass diese Bundesregierung dazu kaum einen Beitrag geleistet hat.",data/txt/17075.txt,speech,spd
2451746,75,17,0,Bartholomäus Kalb [CDU/CSU],Bartholomäus Kalb,bartholomaus-kalb,9,Das ist falsch!,data/txt/17075.txt,poi,cducsu
