id,sitzung,wahlperiode,in_writing,speaker,speaker_cleaned,speaker_fp,sequence,text,filename,type,speaker_party
2349712,17,17,0,Vizepräsident Dr. h. c. Wolfgang Thierse,Dr. h. c. Wolfgang Thierse,wolfgang-thierse,0,"Guten Morgen, liebe Kolleginnen und Kollegen! Ich begrüße Sie herzlich zur heutigen Sitzung, die hiermit eröffnet ist.

Wir setzen die Haushaltsberatungen - Tagesordnungspunkt 2 - fort:

Erste Beratung des von der Bundesregierung eingebrachten Entwurfs eines Gesetzes über die Feststellung des Bundeshaushaltsplans für das Haushaltsjahr 2010",data/txt/17017.txt,chair,
2349713,17,17,0,,,,1,Haushaltsgesetz 2010,data/txt/17017.txt,poi,
2349714,17,17,0,Vizepräsident Dr. h. c. Wolfgang Thierse,Dr. h. c. Wolfgang Thierse,wolfgang-thierse,2,"- Drucksache 17/200 -

Überweisungsvorschlag:

Haushaltsausschuss

Am Dienstag haben wir für die heutige Aussprache eine Redezeit von insgesamt dreieinhalb Stunden beschlossen.

Wir beginnen die heutigen Haushaltsberatungen mit dem Geschäftsbereich des Bundesministeriums für Verkehr, Bau und Stadtentwicklung, Einzelplan 12.

Ich erteile das Wort dem Bundesminister Peter Ramsauer.",data/txt/17017.txt,chair,
2349715,17,17,0,,,,3,Beifall bei der CDU/CSU sowie bei Abgeordneten der FDP,data/txt/17017.txt,poi,
2349716,17,17,0,Vizepräsident Dr. h. c. Wolfgang Thierse,Dr. h. c. Wolfgang Thierse,wolfgang-thierse,4,,data/txt/17017.txt,chair,
2349717,17,17,0,"Dr. Peter Ramsauer, Bundesminister für Verkehr, Bau und Stadtentwicklung",Dr. Peter Ramsauer,peter-ramsauer,5,"Guten Morgen, Herr Präsident! Meine lieben Kolleginnen und Kollegen! Meine sehr geehrten Damen und Herren! Mit der Einbringung des Bundeshaushalts 2010 gibt die Bundesregierung ein ganz klares Bekenntnis ab für mehr Freiheit, für mehr Gerechtigkeit, für Wohlstand, Wachstum, Eigentum und Sicherheit bei den Arbeitsplätzen.",data/txt/17017.txt,speech,
2349718,17,17,0,,,,6,Beifall bei der CDU/CSU sowie bei Abgeordneten der FDP,data/txt/17017.txt,poi,
2349719,17,17,0,Ute Kumpf [SPD],Ute Kumpf,ute-kumpf,7,"So, kann man das alles kaufen? Gibt es das?",data/txt/17017.txt,poi,spd
2349720,17,17,0,"Dr. Peter Ramsauer, Bundesminister für Verkehr, Bau und Stadtentwicklung",Dr. Peter Ramsauer,peter-ramsauer,8,"Das heißt für den Einzelplan 12, für den Etat meines Hauses, über den wir heute Vormittag diskutieren: Wir wollen Mobilität als unverzichtbaren Teil unserer Freiheit und unseres Wohlstandes sichern, ausbauen und bestmöglich organisieren. Unter anderem dank der beiden Konjunkturpakete investieren wir auf Rekordniveau in unsere Infrastruktur, und zwar auch, damit wir schnell aus der Krise herauskommen. Wir tun dies ferner, damit unser Land nach dieser Wirtschaftskrise noch besser für die Zukunft gerüstet ist und sich solche Krisen nicht wiederholen.

Um es auch hier klar zu sagen: Infrastruktur ist eine öffentliche Aufgabe. Ich habe mich in meiner ersten Rede als Bundesminister bereits deutlich dazu geäußert, wo für den Infrastrukturbereich, für quasi öffentliche Betriebe, die Grenzen der Privatisierungsmöglichkeiten liegen.",data/txt/17017.txt,speech,
2349721,17,17,0,,,,9,Beifall bei Abgeordneten der CDU/CSU,data/txt/17017.txt,poi,
