id,sitzung,wahlperiode,in_writing,speaker,speaker_cleaned,speaker_fp,sequence,text,filename,type,speaker_party
2574994,144,17,0,Präsident Dr. Norbert Lammert,Dr. Norbert Lammert,norbert-lammert,0,"Die Sitzung ist eröffnet. Nehmen Sie bitte Platz.

Guten Morgen, liebe Kolleginnen und Kollegen! Ich begrüße Sie herzlich zur Fortsetzung und zum Abschluss unserer Haushaltsberatungen - Tagesordnungspunkt II -:

a)	Zweite Beratung des von der Bundesregierung eingebrachten Entwurfs eines Gesetzes über die Feststellung des Bundeshaushaltsplans für das Haushaltsjahr 2012 (Haushaltsgesetz 2012)

- Drucksachen 17/6600, 17/6602 -

b)	Beratung der Beschlussempfehlung des Haushaltsausschusses (8. Ausschuss) zu der Unterrichtung durch die Bundesregierung

Finanzplan des Bundes 2011 bis 2015

- Drucksachen 17/6601, 17/6602, 17/7126 -

Berichterstattung:

Abgeordnete Norbert Barthle

Carsten Schneider (Erfurt)

Otto Fricke

Dr. Gesine Lötzsch

Priska Hinz (Herborn)

Ich rufe den Tagesordnungspunkt II.18 auf:

Einzelplan 12

Bundesministerium für Verkehr, Bau und Stadtentwicklung

- Drucksachen 17/7112, 17/7123 -

Berichterstattung:

Abgeordnete Bartholomäus Kalb

Johannes Kahrs

Dr. Claudia Winterstein

Roland Claus

Sven-Christian Kindler

Zum Einzelplan 12 liegen ein Änderungsantrag der Fraktion der SPD sowie ein Änderungsantrag der Fraktion Die Linke vor. Über beide Änderungsanträge werden wir später namentlich abstimmen.

Nach einer interfraktionellen Vereinbarung sind für die Aussprache 90 Minuten vorgesehen. - Dazu höre ich keinen Widerspruch. Dann ist das so vereinbart.

Ich eröffne die Aussprache und erteile das Wort dem Kollegen Johannes Kahrs.",data/txt/17144.txt,chair,
2574995,144,17,0,,,,1,Beifall bei der SPD,data/txt/17144.txt,poi,
2574996,144,17,0,Präsident Dr. Norbert Lammert,Dr. Norbert Lammert,norbert-lammert,2,,data/txt/17144.txt,chair,
2574997,144,17,0,Johannes Kahrs (SPD),Johannes Kahrs,johannes-kahrs,3,"Einen wunderschönen guten Morgen, Herr Präsident! Liebe Kolleginnen und Kollegen! Werter Herr Minister! Wenn man sich den Etat des Ministeriums für Verkehr, Bau und Stadtentwicklung ansieht, wird man feststellen, dass es Licht und Schatten gibt. Aber das ist in jedem Etat so. Zu Beginn möchte ich mich bei Ihnen, Herr Minister, und Ihrer nicht wirklich vollzählig erschienenen Staatssekretärstruppe für die gute Zusammenarbeit sehr herzlich bedanken.

Der Etat zeigt, dass vieles so läuft, wie es die vorherigen SPD-Minister gut eingestellt haben. Deswegen muss ich das nicht weiter kommentieren.",data/txt/17144.txt,speech,spd
2574998,144,17,0,,,,4,Beifall bei der SPD,data/txt/17144.txt,poi,
2574999,144,17,0,Johannes Kahrs (SPD),Johannes Kahrs,johannes-kahrs,5,"Wenn etwas nicht gut läuft, dann ist das immer ein Grund, dort anzufangen. Herr Minister, Sie haben in den letzten Jahren viel versprochen. Wenn man ab und an die Zeitung aufschlägt, dann kann man Ihre vollmundigen Versprechungen und Ankündigungen lesen. Irgendwann haben Sie dann festgestellt, dass Ihnen das Geld fehlt. Dann haben Sie eine Diskussion um die Pkw-Maut begonnen. Herausgekommen ist natürlich gar nichts. Ob noch etwas kommt, werden wir sehen. Am Ende haben Sie jedoch festgestellt, dass Sie kein Geld haben für all das, was Sie versprochen haben.

Mit den Einnahmen aus der Pkw-Maut, über die Sie immer diskutiert haben, sollte all das umgesetzt werden, was Sie zum Beispiel auf Ihrem Landesparteitag, wo Sie als Stellvertreter wieder gewählt werden wollten, versprochen haben. Wir werden jetzt sehen, dass dem nicht so ist.

In der Not wurde Ihnen geholfen: Sie haben 1 Milliarde Euro mehr für die Infrastruktur bekommen, allerdings einmalig. Über den Sinn einer solchen Milliarde kann man streiten. Natürlich ist es gut, wenn man mehr Geld hat. Ob man aber mit den 500 Millionen Euro, die Sie im nächsten Jahr ausgeben können, und mit VEs wirklich weiterkommt, wird man sehen. Wir freuen uns jedenfalls auf die Liste, die Sie vorlegen müssen, um zu zeigen, wie diese Milliarde verwendet wird. Ich persönlich bin sehr gespannt, was dabei am Ende herauskommt, ob die Kolleginnen und Kollegen von der CDU/ CSU und der FDP die Schwerpunkte in ihren Wahlkreisen werden bedienen können, ob es das gibt, was sich viele bayerische Landesdelegierte versprochen haben, als sie Sie gewählt haben. Man wird es sehen. Wir werden uns die Liste anschauen und das prüfen. Wenn Sie es geschickt machen, dann werden Sie diese Milliarde in dringend Notwendiges und sowieso Veranschlagtes packen und die Dinge, die Sie haben wollen, aus dem Normalhaushalt bedienen. Das alles kann man sich dann im Ergebnis ansehen.

Über die Pkw-Maut haben wir einmal rauf und einmal runter diskutiert. Wir Sozialdemokraten denken - genau wie der ADAC und der Auto Club Europa, ACE -, dass es Ihnen dabei nur um Geld geht. Sie brauchen mehr Geld, und der Autofahrer soll zahlen. Ob eine Pkw-Maut Sinn macht, muss man sich anschauen.",data/txt/17144.txt,speech,spd
2575000,144,17,0,,,,6,Beifall bei der SPD,data/txt/17144.txt,poi,
2575001,144,17,0,Patrick Döring [FDP],Patrick Döring,patrick-doring,7,Seid ihr dafür oder dagegen?,data/txt/17144.txt,poi,fdp
2575002,144,17,0,Johannes Kahrs (SPD),Johannes Kahrs,johannes-kahrs,8,"- Ich freue mich insbesondere über den Beifall von Sören Bartol. - Schauen wir uns das einmal an. Bei der Lkw-Maut verschlingen die Kosten des Systems fast ein Viertel der Einnahmen. Solange Sie solche Systeme haben, freut sich meist nur der Betreiber.",data/txt/17144.txt,speech,spd
2575003,144,17,0,Patrick Döring [FDP],Patrick Döring,patrick-doring,9,Das war eigentlich nur der Stolpe!,data/txt/17144.txt,poi,fdp
